


日時,バンドソーHBA520AU（WH01-1）,バンドソーHBA420AU（WH01-2）,バンドソーHFA300（WH02）,コンプレッサー（WH04）,冷却器（WH10）,切削機(WH11),コンプレッサー（WH03）,ローリングミル,油圧ポンプNo1&No2,油圧ポンプNo3&No4,油圧ポンプNo5&No6,ローリングミル（大）,受電パルス
2024-08-01 09:00:00,6.0,5.0,3.0,0.0,7.0,0.0,2.0,358.0,8.0,46.0,21.0,48.0,986.0
2024-08-01 10:00:00,8.0,8.0,5.0,0.0,15.0,0.0,3.0,778.0,17.0,95.0,46.0,56.0,1551.0
2024-08-01 11:00:00,11.0,10.0,6.0,0.0,20.0,0.0,5.0,955.0,24.0,123.0,63.0,154.0,2095.0
2024-08-01 12:00:00,15.0,12.0,8.0,0.0,27.0,0.0,6.0,1278.0,31.0,164.0,82.0,164.0,2577.0
2024-08-01 13:00:00,18.0,14.0,9.0,0.0,27.0,0.0,7.0,1278.0,31.0,164.0,82.0,172.0,2714.0
2024-08-01 14:00:00,20.0,17.0,11.0,0.0,31.0,0.0,11.0,1487.0,38.0,199.0,100.0,180.0,3136.0
2024-08-01 15:00:00,23.0,19.0,13.0,0.0,33.0,0.0,15.0,1613.0,48.0,260.0,130.0,187.0,3595.0
2024-08-01 16:00:00,27.0,21.0,15.0,0.0,35.0,0.0,19.0,1800.0,50.0,286.0,135.0,316.0,4141.0
2024-08-01 17:00:00,30.0,22.0,17.0,0.0,38.0,0.0,21.0,1800.0,53.0,300.0,139.0,365.0,4406.0
2024-08-01 18:00:00,31.0,22.0,17.0,0.0,38.0,0.0,22.0,1800.0,53.0,300.0,139.0,369.0,4463.0
2024-08-01 19:00:00,31.0,22.0,17.0,0.0,38.0,0.0,22.0,1800.0,53.0,300.0,139.0,374.0,4502.0
2024-08-01 20:00:00,31.0,22.0,17.0,0.0,38.0,0.0,22.0,1800.0,53.0,300.0,139.0,378.0,4540.0
2024-08-01 21:00:00,31.0,22.0,17.0,0.0,38.0,0.0,22.0,1800.0,53.0,300.0,139.0,383.0,4576.0
2024-08-01 22:00:00,31.0,22.0,17.0,0.0,38.0,0.0,22.0,1800.0,53.0,300.0,139.0,387.0,4612.0
2024-08-01 23:00:00,31.0,22.0,17.0,0.0,38.0,0.0,22.0,1800.0,53.0,300.0,139.0,392.0,4647.0
2024-08-02 00:00:00,31.0,22.0,17.0,0.0,38.0,0.0,22.0,1800.0,53.0,300.0,139.0,396.0,4683.0
2024-08-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0
2024-08-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,65.0
2024-08-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,101.0
2024-08-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,136.0
2024-08-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,174.0
2024-08-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,217.0
2024-08-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,306.0
2024-08-02 08:00:00,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,38.0,440.0
2024-08-02 09:00:00,5.0,2.0,5.0,0.0,8.0,0.0,3.0,427.0,8.0,51.0,23.0,46.0,1022.0
2024-08-02 10:00:00,6.0,5.0,6.0,0.0,12.0,0.0,4.0,677.0,16.0,101.0,46.0,59.0,1454.0
2024-08-02 11:00:00,6.0,7.0,8.0,0.0,13.0,0.0,6.0,677.0,18.0,131.0,53.0,170.0,1893.0
2024-08-02 12:00:00,6.0,10.0,10.0,0.0,13.0,0.0,8.0,677.0,22.0,164.0,69.0,193.0,2172.0
2024-08-02 13:00:00,6.0,10.0,11.0,0.0,15.0,0.0,9.0,677.0,24.0,172.0,74.0,269.0,2474.0
2024-08-02 14:00:00,6.0,10.0,13.0,0.0,17.0,0.0,13.0,700.0,33.0,229.0,102.0,325.0,2944.0
2024-08-02 15:00:00,6.0,10.0,15.0,0.0,20.0,0.0,19.0,717.0,41.0,273.0,124.0,496.0,3580.0
2024-08-02 16:00:00,6.0,10.0,16.0,0.0,21.0,0.0,23.0,717.0,43.0,279.0,128.0,556.0,3886.0
2024-08-02 17:00:00,6.0,10.0,16.0,0.0,29.0,0.0,25.0,1092.0,51.0,323.0,148.0,565.0,4355.0
2024-08-02 18:00:00,6.0,10.0,16.0,0.0,30.0,0.0,25.0,1092.0,51.0,323.0,148.0,569.0,4413.0
